filename,width,height,class,xmin,ymin,xmax,ymax
IMG_6856_JPG.rf.01ada5433158fb3ae1f37762850925cf.jpg,640,640,Ayam,122,142,487,566
IMG_4419_JPG.rf.00951f8e0b72b9fcad65af3d3ab5d122.jpg,640,640,Tempe,221,203,490,363
IMG_4206_JPG.rf.011cd282d9a8ec7896bf43d4c76d24f6.jpg,640,640,Tahu,287,131,451,292
photo_3_2024-05-12_15-31-26_jpg.rf.0100aae8b2af6223236633ba17736fd3.jpg,640,640,Telur,91,151,578,497
IMG_7058_JPG.rf.00eea5e173bc78c44ef3b5b23435ca8e.jpg,640,640,Ayam,136,75,487,485
photo_7_2024-05-12_15-31-56_jpg.rf.00dc4d9a61b69b877dc8e93a11f99de2.jpg,640,640,Telur,86,132,543,503
IMG_4652_JPG.rf.01c145ed1386d49e6ad97904adbc40fe.jpg,640,640,Tempe,223,242,356,345
IMG_4363_JPG.rf.01663522581b52ab358ef970ee88c6a2.jpg,640,640,Tahu,181,161,397,298
IMG_4373_JPG.rf.0089ee64d2fd5c7fe356f72bc3396c6b.jpg,640,640,Tempe,251,220,489,364
photo_8_2024-05-12_15-29-05_jpg.rf.003d1fa569ce12c2479369cc4b042d49.jpg,640,640,Telur,45,164,407,540
IMG_4703_JPG.rf.01995bb2ad4fa8596685e5fcc2554b9c.jpg,640,640,Tempe,200,283,303,382
IMG_5763_JPG.rf.01b637299e3f6c73a836e79f6a606143.jpg,640,640,Ikan,120,135,619,552
IMG_5763_JPG.rf.00f02f9a344e6ba1098a79d9c4851488.jpg,640,640,Ikan,0,170,547,492
IMG_4303_JPG.rf.018fc3bf5f27020487ddd2e4e9ce2daf.jpg,640,640,Tahu,199,217,413,388
IMG_4705_JPG.rf.0143ea8df22486424ef1150bfcedff0c.jpg,640,640,Tempe,221,254,310,348
IMG_6567_JPG.rf.01bf9adf46395a89a70749eea3cc0d56.jpg,640,640,Sayur,28,164,309,381
IMG_6567_JPG.rf.01bf9adf46395a89a70749eea3cc0d56.jpg,640,640,Sayur,263,284,495,568
IMG_4634_JPG.rf.00d93fa9458541a17f50ca942365e567.jpg,640,640,Tempe,270,263,367,372
